ID,Usuario ID,Primer Nombre,Apellido,Email,Teléfono,Fecha Nacimiento,Fecha Contratación,Cargo ID,Supervisor ID,Salario,Es Activo,Fecha Creación,Fecha Actualización
c2054fd7-a60c-41b6-bb84-1c8b4627f244,a1b2c3d4-e5f6-7890-1234-567890abcdef,María,González,maria.gonzalez@empresa.com,0414-1234567,1985-06-15,2022-03-01,8cb9f051-8bad-6f5c-b04e-ad7b8cb9f051,,55000,TRUE,2024-01-20,2024-08-18
d3165ae8-b71d-52c7-cc95-2d9c5738e355,b2c3d4e5-f6g7-8901-2345-678901bcdefg,Carlos,Rodríguez,carlos.rodriguez@empresa.com,0424-2345678,1978-11-22,2020-07-15,9a1594ea-1460-f8e5-49d7-3604fa9a1594,,45000,TRUE,2024-01-20,2024-08-18
e427fbf9-c82e-63d8-dda6-3e0d6849f466,c3d4e5f6-g7h8-9012-3456-789012cdefgh,Ana,Martínez,ana.martinez@empresa.com,0416-3456789,1982-04-10,2021-01-20,2a8b84a6-d02c-b4a1-0593-f2c02a8b84a6,c2054fd7-a60c-41b6-bb84-1c8b4627f244,28000,TRUE,2024-01-20,2024-08-18
f5390c0a-d93f-74e9-eeb7-4f1e795af577,d4e5f6g7-h8i9-0123-4567-890123defghi,Luis,Pérez,luis.perez@empresa.com,0426-4567890,1979-09-05,2019-11-08,4e2d341d-4793-2b18-7c0a-6937e4e2d341,c2054fd7-a60c-41b6-bb84-1c8b4627f244,40000,TRUE,2024-01-20,2024-08-18
064a1d1b-ea40-85fa-ffc8-502e896b0688,e5f6g7h8-i9j0-1234-5678-901234efghij,Sandra,López,sandra.lopez@empresa.com,0414-5678901,1987-12-03,2023-02-14,4c81e829-3f6b-4d1a-9e2c-8b5f4c81e829,c2054fd7-a60c-41b6-bb84-1c8b4627f244,45000,TRUE,2024-01-20,2024-08-18
175b2e2c-fb51-960b-00d9-613f9a7c1799,f6g7h8i9-j0k1-2345-6789-012345fghijk,Roberto,Silva,roberto.silva@empresa.com,0424-6789012,1995-01-28,2024-06-01,80debc40-7a9c-5e4b-af3d-9c6a80debc40,064a1d1b-ea40-85fa-ffc8-502e896b0688,25000,TRUE,2024-01-22,2024-08-18
286c3f3d-0c62-a71c-11ea-724008d28aa,g7h8i9j0-k1l2-3456-7890-123456ghijkl,Carmen,Díaz,carmen.diaz@empresa.com,0416-7890123,1983-08-17,2021-09-12,428e2462-9cbe-706d-c15f-be8c428e2462,c2054fd7-a60c-41b6-bb84-1c8b4627f244,35000,TRUE,2024-01-22,2024-08-18
397d404e-1d73-b82d-22fb-8351199399bb,h8i9j0k1-l2m3-4567-8901-234567hijklm,Fernando,Castro,fernando.castro@empresa.com,0426-8901234,1991-05-12,2024-04-15,9e3c4095-cf1b-a390-f482-e1bf9e3c4095,c2054fd7-a60c-41b6-bb84-1c8b4627f244,38000,TRUE,2024-01-22,2024-08-18
4a8e515f-2e84-c93e-33fc-94622aa4aacc,i9j0k1l2-m3n4-5678-9012-345678ijklmn,Gabriela,Morales,gabriela.morales@empresa.com,0414-9012345,1986-02-25,2022-12-01,5e4960d9-035f-e7d4-38c6-25f35e4960d9,d3165ae8-b71d-52c7-cc95-2d9c5738e355,30000,TRUE,2024-01-25,2024-08-18
5b9f6260-3f95-da4f-4400-a573bbbbdd,j0k1l2m3-n4o5-6789-0123-456789jklmno,Diego,Herrera,diego.herrera@empresa.com,0424-0123456,1984-07-19,2023-08-20,d6a4c8fb-2571-09f6-5ae8-47159dd6a4c8,d3165ae8-b71d-52c7-cc95-2d9c5738e355,28000,TRUE,2024-01-25,2024-08-18
